Fe (at%),Ni  (at%),Co (at%),Coercivity (A/m),,,,,,,,,,,,,,,,,,,,,,
61.6,31.38,7.02,79.58,,,,,,,,,,,,,,,,,,,,,,
61.03,31.43,7.55,79.58,,,,,,,,,,,,,,,,,,,,,,
97.05,2.9,0.05,79.58,,,,,,,,,,,,,,,,,,,,,,
97.01,2.46,0.52,79.58,,,,,,,,,,,,,,,,,,,,,,
97.14,1.82,1.05,79.58,,,,,,,,,,,,,,,,,,,,,,
97.3,1.21,1.49,79.58,,,,,,,,,,,,,,,,,,,,,,
97.61,0.61,1.77,79.58,,,,,,,,,,,,,,,,,,,,,,
95.61,4.34,0.05,159.16,,,,,,,,,,,,,,,,,,,,,,
95.56,4.02,0.43,159.16,,,,,,,,,,,,,,,,,,,,,,
95.37,3.6,1.03,159.16,,,,,,,,,,,,,,,,,,,,,,
95.26,2.96,1.79,159.16,,,,,,,,,,,,,,,,,,,,,,
95.22,2.31,2.47,159.16,,,,,,,,,,,,,,,,,,,,,,
95.32,1.71,2.97,159.16,,,,,,,,,,,,,,,,,,,,,,
95.34,1.06,3.59,159.16,,,,,,,,,,,,,,,,,,,,,,
95.46,0.46,4.07,159.16,,,,,,,,,,,,,,,,,,,,,,
95.61,0.09,4.3,159.16,,,,,,,,,,,,,,,,,,,,,,
63.13,0.07,36.8,159.16,,,,,,,,,,,,,,,,,,,,,,
62.7,0.34,36.95,159.16,,,,,,,,,,,,,,,,,,,,,,
62.01,0.67,37.32,159.16,,,,,,,,,,,,,,,,,,,,,,
61.07,1.02,37.91,159.16,,,,,,,,,,,,,,,,,,,,,,
60.26,1.26,38.48,159.16,,,,,,,,,,,,,,,,,,,,,,
59.61,1.35,39.04,159.16,,,,,,,,,,,,,,,,,,,,,,
58.97,1.45,39.58,159.16,,,,,,,,,,,,,,,,,,,,,,
58.32,1.41,40.27,159.16,,,,,,,,,,,,,,,,,,,,,,
57.61,1.3,41.09,159.16,,,,,,,,,,,,,,,,,,,,,,
56.75,1.12,42.13,159.16,,,,,,,,,,,,,,,,,,,,,,
56.2,0.89,42.91,159.16,,,,,,,,,,,,,,,,,,,,,,
57.18,1.21,41.61,159.16,,,,,,,,,,,,,,,,,,,,,,
55.54,0.66,43.8,159.16,,,,,,,,,,,,,,,,,,,,,,
55.17,0.39,44.45,159.16,,,,,,,,,,,,,,,,,,,,,,
55.02,0.04,44.93,159.16,,,,,,,,,,,,,,,,,,,,,,
67.85,29,3.15,159.16,,,,,,,,,,,,,,,,,,,,,,
67.26,29.01,3.73,159.16,,,,,,,,,,,,,,,,,,,,,,
66.65,29.08,4.27,159.16,,,,,,,,,,,,,,,,,,,,,,
66.03,29.15,4.82,159.16,,,,,,,,,,,,,,,,,,,,,,
65.49,29.08,5.43,159.16,,,,,,,,,,,,,,,,,,,,,,
64.87,29.16,5.97,159.16,,,,,,,,,,,,,,,,,,,,,,
64.29,29.16,6.55,159.16,,,,,,,,,,,,,,,,,,,,,,
63.64,29.3,7.06,159.16,,,,,,,,,,,,,,,,,,,,,,
63.02,29.37,7.61,159.16,,,,,,,,,,,,,,,,,,,,,,
62.44,29.37,8.18,159.16,,,,,,,,,,,,,,,,,,,,,,
61.86,29.38,8.76,159.16,,,,,,,,,,,,,,,,,,,,,,
61.28,29.38,9.34,159.16,,,,,,,,,,,,,,,,,,,,,,
60.66,29.45,9.88,159.16,,,,,,,,,,,,,,,,,,,,,,
60.08,29.45,10.46,159.16,,,,,,,,,,,,,,,,,,,,,,
59.5,29.46,11.04,159.16,,,,,,,,,,,,,,,,,,,,,,
58.89,29.53,11.59,159.16,,,,,,,,,,,,,,,,,,,,,,
58.3,29.53,12.16,159.16,,,,,,,,,,,,,,,,,,,,,,
57.72,29.54,12.74,159.16,,,,,,,,,,,,,,,,,,,,,,
57.14,29.54,13.32,159.16,,,,,,,,,,,,,,,,,,,,,,
56.56,29.54,13.9,159.16,,,,,,,,,,,,,,,,,,,,,,
55.98,29.55,14.48,159.16,,,,,,,,,,,,,,,,,,,,,,
55.4,29.55,15.06,159.16,,,,,,,,,,,,,,,,,,,,,,
54.81,29.55,15.63,159.16,,,,,,,,,,,,,,,,,,,,,,
54.23,29.55,16.21,159.16,,,,,,,,,,,,,,,,,,,,,,
53.65,29.56,16.79,159.16,,,,,,,,,,,,,,,,,,,,,,
53.07,29.56,17.37,159.16,,,,,,,,,,,,,,,,,,,,,,
52.49,29.56,17.95,159.16,,,,,,,,,,,,,,,,,,,,,,
51.91,29.57,18.53,159.16,,,,,,,,,,,,,,,,,,,,,,
51.32,29.57,19.1,159.16,,,,,,,,,,,,,,,,,,,,,,
50.74,29.57,19.68,159.16,,,,,,,,,,,,,,,,,,,,,,
50.16,29.58,20.26,159.16,,,,,,,,,,,,,,,,,,,,,,
49.58,29.58,20.84,159.16,,,,,,,,,,,,,,,,,,,,,,
49,29.58,21.42,159.16,,,,,,,,,,,,,,,,,,,,,,
